text,emotion
i should have been at the pub instead of which i stayed at home feeling morose and depressed,sadness
ill just have to make some local friends i can go to the movies with and know for a fact they wont even without meaning to cause i seriously doubt there was any actual intention to hurt my feelings or actually call me heartless a moral or brainless it just came across that way to me,anger
i didnt feel so hot,love
i would further suggest people might feel more at ease in caring giving societies,love
i am feeling irritable cranky often,anger
i am not wishing november away or trying to forget about thanksgiving but i need to be mindful of what really matters when i feel overwhelmed,fear
i feel only love yesterday it brought tears to my eyes to hear him say that today i realize that it was why it was so special to be with them i was surrounded by love,joy
i wonder how it feels to have angered and disappointed millions of people in one morning,anger
i am feeling a little overwhelmed like i do every year at this time at the speed each holiday season creeps up on us,surprise
im awake as usual at am and lie there feeling reluctant until am when i get up and slink around in the dark getting dressed,fear
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,anger
i know this isnt real but it feels strange to me at times,surprise
i hope she feels my presence with her and is assured that her girl loves her fiercely,joy
im sitting here feeling very disheartened,sadness
i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed,surprise
i was feeling very generous wild and crazy and we went through the drive through at steak and shake,love
i feel about strange brew,surprise
i feel a bit triumphant about that,joy
i watch hgtv and i feel like im not that talented,joy
i only feel curious impatient eager and confused,surprise
i would practice holding your hand using mine feeling the joints where you can feel my caring love but tight enough for you to know that i am never letting go,love
i feel like i want to be very very rebellious until they regret of what they have done to their single daughter,anger
i am feeling rather vain today because my hair looks good and so i have decided to do an entire post about beauty products,sadness
i honestly have so much research to do and have to think of so many color schemes and how to implement organizational tips for small spaces that i feel more than overwhelmed with the intensity of this project however there is the masochist in me that is incredibly excited,surprise
i suddenly feel that this is more than a sweet love song that every girls could sing in front of their boyfriends,love
i feel quietly ecstatic over the painless change in our grocery expense,joy
i have no relief from my aches i am feeling just a tad overwhelmed by our current living situation and i am still unemployed and getting really really antsy about finding work,surprise
i can feel that gentle rhythm imprinted on my skin i vibrates up my arm my stomach clenches my legs squeeze i forget his own leg has somehow ended up between mine,love
i was thinking that i might be ready but was feeling unsure of my assessment,fear
i beside see smiling feel very funny,surprise
i feel suddenly startled catch my breath and think it could be any day,fear
i feel more irritable and i feel more sensible now than ever,anger
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,anger
im feeling hideously guily and somewhat naughty doing this in work time,love
i would not expect you to understand and if you have i feel horrible for you,sadness
i feel like ive been sooo distracted and i need to regain my focus again,anger
i declined this invitation but secretly i could not help but feel curious,surprise
i hardly feel they have any wow factor at all until i saw how stunned liv was at the entire concept,surprise
i try not to laugh because sometimes it hurts vellas feelings but some of the things he does are so funny,surprise
i can feel the cold wind,anger
i feel disgusted that any criminal justice system in the st century could know the full details of it all and deny it to be named as abusive,anger
i feel irritated to have missed out direct instruction from master lee is never to be passed up casually i have to admit my body just feels like it needs the rest,anger
i feel like an ass saying that since my sweet sister has gone through quite possibly the worst year of her life at the same time,joy
i feel her longing to be touched and all that but really with the guy who wanted to control you and make you kill other people,love
i think i deserve for once this freedom makes me feel amazing,surprise
